1,480,495,505,510,525,531,542
1,542,552,587,594,604,,
1,604,624,654,664,,,
1,664,709,716,728,,,
1,728,748,774,783,795,,
1,795,825,835,845,856,,
1,856,901,911,,,,
1,911,936,961,971,,,
1,971,1016,1026,0,,,
2,480,526,537,0,,,
2,537,558,588,598,,,
2,598,633,648,658,,,
2,658,698,708,718,,,
2,718,733,748,763,773,,
2,773,798,823,833,,,
2,833,868,878,889,,,
2,889,919,939,949,,,
2,949,965,985,995,1006,,
2,1006,1042,1057,1068,,,
3,480,501,521,532,543,,
3,543,559,589,600,,,
3,600,631,646,657,,,
3,657,698,708,719,,,
3,719,765,776,,,,
3,776,792,813,823,834,,
3,834,855,875,885,896,,
3,896,917,942,953,,,
3,953,989,1004,1015,,,
3,1015,1056,1067,1079,,,
4,480,496,527,538,,,
4,538,564,584,595,,,
4,595,631,647,659,,,
4,659,685,710,721,,,
4,721,757,774,786,,,
4,786,827,840,852,,,
4,852,893,905,917,,,
4,917,938,954,969,980,,
4,980,1021,1033,1045,,,
5,480,512,532,543,,,
5,543,579,597,608,,,
5,608,649,661,673,,,
5,673,714,726,738,,,
5,738,769,790,802,,,
5,802,843,855,867,,,
5,867,893,918,929,,,
5,929,965,981,993,,,
5,993,1019,1046,1058,,,
6,480,507,527,539,,,
6,539,560,591,603,,,
6,603,639,657,669,,,
6,669,711,722,,,,
6,722,749,775,787,,,
6,787,814,839,851,,,
6,851,888,903,915,,,
6,915,962,974,,,,
6,974,1006,1023,1035,,,
7,480,512,536,548,,,
7,548,575,587,,,,
7,587,629,641,,,,
7,641,674,687,,,,
7,687,730,742,,,,
7,742,784,796,,,,
